anio,estacion,periodo_analisis,categoria,comunidad,porcentaje_promedio,porcentaje_min,porcentaje_max,dias_muestreados
2024,Summer,Anochecer Crítico,Anfibio,SAN LUCAS,15.26,0.15,33.33,4
2024,Summer,Anochecer Crítico,Anfibio,VARILLAL,2.21,0.15,6.98,4
2024,Summer,Anochecer Crítico,Antropogénico,12 DE abril,46.75,12.05,100.0,7
2024,Summer,Anochecer Crítico,Antropogénico,PAUJIL,15.92,0.08,43.17,6
2024,Summer,Anochecer Crítico,Antropogénico,QUISTOCOCHA,20.67,1.5,58.82,7
2024,Summer,Anochecer Crítico,Antropogénico,SAN LUCAS,18.62,0.77,33.33,5
2024,Summer,Anochecer Crítico,Antropogénico,VARILLAL,16.78,0.26,42.86,7
2024,Summer,Anochecer Crítico,Ave,PAUJIL,0.6,0.08,2.2,5
2024,Summer,Anochecer Crítico,Ave,QUISTOCOCHA,03.01,1.76,4.35,4
2024,Summer,Anochecer Crítico,Ave,SAN LUCAS,0.2,0.02,0.38,4
2024,Summer,Anochecer Crítico,Ave,VARILLAL,03.07,0.04,14.29,5
2024,Summer,Anochecer Crítico,Insecto,12 DE abril,46.89,3.41,69.39,3
2024,Summer,Anochecer Crítico,Insecto,PAUJIL,29.74,5.43,48.35,5
2024,Summer,Anochecer Crítico,Insecto,QUISTOCOCHA,34.11,14.05,53.4,4
2024,Summer,Anochecer Crítico,Insecto,SAN LUCAS,54.3,5.22,100.0,7
2024,Summer,Anochecer Crítico,Insecto,VARILLAL,20.29,4.35,40.68,6
2024,Summer,Anochecer Crítico,Mamífero,QUISTOCOCHA,0.12,0.03,0.21,2
2024,Summer,Anochecer Crítico,Mamífero,VARILLAL,0.11,0.05,0.14,3
2024,Summer,Anochecer Crítico,Ruido ambiental,12 DE abril,46.39,18.48,71.43,5
2024,Summer,Anochecer Crítico,Ruido ambiental,PAUJIL,56.96,15.38,100.0,7
2024,Summer,Anochecer Crítico,Ruido ambiental,QUISTOCOCHA,62.29,28.57,100.0,8
2024,Summer,Anochecer Crítico,Ruido ambiental,SAN LUCAS,44.16,1.96,76.0,6
2024,Summer,Anochecer Crítico,Ruido ambiental,VARILLAL,67.03,45.04,91.3,8
2024,Summer,Anochecer Crítico,Silencio,QUISTOCOCHA,7.14,7.14,7.14,1
2024,Autumn,Amanecer Crítico,Anfibio,12 DE abril,1.18,0.21,3.13,3
2024,Autumn,Amanecer Crítico,Anfibio,PAUJIL,0.63,0.21,1.67,4
2024,Autumn,Amanecer Crítico,Antropogénico,12 DE abril,2.65,0.21,6.25,7
2024,Autumn,Amanecer Crítico,Antropogénico,PAUJIL,3.18,0.83,5.83,7
2024,Autumn,Amanecer Crítico,Ave,12 DE abril,2.37,01.04,5.21,8
2024,Autumn,Amanecer Crítico,Ave,PAUJIL,5.34,0.42,11.46,8
2024,Autumn,Amanecer Crítico,Insecto,12 DE abril,33.67,19.79,43.96,8
2024,Autumn,Amanecer Crítico,Insecto,PAUJIL,22.4,9.17,43.54,8
2024,Autumn,Amanecer Crítico,Mamífero,PAUJIL,0.31,0.21,0.42,4
2024,Autumn,Amanecer Crítico,Ruido ambiental,12 DE abril,61.2,52.29,70.0,8
2024,Autumn,Amanecer Crítico,Ruido ambiental,PAUJIL,69.01,39.38,87.92,8
2024,Autumn,Anochecer Crítico,Anfibio,12 DE abril,3.36,0.63,5.21,8
2024,Autumn,Anochecer Crítico,Anfibio,PAUJIL,0.66,0.21,1.25,6
2024,Autumn,Anochecer Crítico,Antropogénico,12 DE abril,4.22,0.83,10.83,8
2024,Autumn,Anochecer Crítico,Antropogénico,PAUJIL,11.92,3.96,22.71,9
2024,Autumn,Anochecer Crítico,Ave,12 DE abril,01.06,0.21,2.92,9
2024,Autumn,Anochecer Crítico,Ave,PAUJIL,1.74,0.21,5.0,9
2024,Autumn,Anochecer Crítico,Insecto,12 DE abril,33.68,22.08,46.46,9
2024,Autumn,Anochecer Crítico,Insecto,PAUJIL,27.82,5.0,43.75,9
2024,Autumn,Anochecer Crítico,Mamífero,PAUJIL,0.21,0.21,0.21,2
2024,Autumn,Anochecer Crítico,Ruido ambiental,12 DE abril,58.52,50.42,76.25,9
2024,Autumn,Anochecer Crítico,Ruido ambiental,PAUJIL,58.03,43.96,69.79,9
2024,Winter,Amanecer Crítico,Anfibio,12 DE abril,3.58,0.67,11.88,5
2024,Winter,Amanecer Crítico,Anfibio,PAUJIL,1.82,0.63,4.44,7
2024,Winter,Amanecer Crítico,Anfibio,QUISTOCOCHA,0.63,0.21,01.04,5
2024,Winter,Amanecer Crítico,Anfibio,SAN LUCAS,1.43,0.21,6.5,8
2024,Winter,Amanecer Crítico,Anfibio,VARILLAL,1.99,0.14,10.66,9
2024,Winter,Amanecer Crítico,Antropogénico,12 DE abril,4.35,0.21,14.5,7
2024,Winter,Amanecer Crítico,Antropogénico,PAUJIL,12.81,9.44,18.63,7
2024,Winter,Amanecer Crítico,Antropogénico,QUISTOCOCHA,8.66,1.25,30.42,12
2024,Winter,Amanecer Crítico,Antropogénico,SAN LUCAS,12.36,0.83,23.06,12
2024,Winter,Amanecer Crítico,Antropogénico,VARILLAL,5.73,0.14,28.87,17
2024,Winter,Amanecer Crítico,Ave,12 DE abril,16.4,12.71,18.75,7
2024,Winter,Amanecer Crítico,Ave,PAUJIL,23.67,19.34,27.27,7
2024,Winter,Amanecer Crítico,Ave,QUISTOCOCHA,6.89,0.42,13.75,14
2024,Winter,Amanecer Crítico,Ave,SAN LUCAS,8.5,4.17,13.5,10
2024,Winter,Amanecer Crítico,Ave,VARILLAL,18.54,0.98,57.5,21
2024,Winter,Amanecer Crítico,Insecto,12 DE abril,15.7,0.21,26.67,7
2024,Winter,Amanecer Crítico,Insecto,PAUJIL,23.8,12.29,33.33,7
2024,Winter,Amanecer Crítico,Insecto,QUISTOCOCHA,28.6,7.71,49.17,14
2024,Winter,Amanecer Crítico,Insecto,SAN LUCAS,24.02,7.5,38.0,10
2024,Winter,Amanecer Crítico,Insecto,VARILLAL,15.55,1.67,34.17,21
2024,Winter,Amanecer Crítico,Mamífero,12 DE abril,7.0,7.0,7.0,1
2024,Winter,Amanecer Crítico,Mamífero,PAUJIL,0.74,0.21,1.64,5
2024,Winter,Amanecer Crítico,Mamífero,QUISTOCOCHA,0.63,0.21,0.83,4
2024,Winter,Amanecer Crítico,Mamífero,SAN LUCAS,0.83,0.83,0.83,2
2024,Winter,Amanecer Crítico,Mamífero,VARILLAL,2.15,0.28,5.83,11
2024,Winter,Amanecer Crítico,Ruido ambiental,12 DE abril,59.99,54.0,73.13,7
2024,Winter,Amanecer Crítico,Ruido ambiental,PAUJIL,68.68,29.72,100.0,14
2024,Winter,Amanecer Crítico,Ruido ambiental,QUISTOCOCHA,56.68,47.08,73.33,14
2024,Winter,Amanecer Crítico,Ruido ambiental,SAN LUCAS,65.23,36.67,100.0,14
2024,Winter,Amanecer Crítico,Ruido ambiental,VARILLAL,59.3,11.67,83.4,21
2024,Winter,Anochecer Crítico,Anfibio,12 DE abril,2.39,0.21,6.0,8
2024,Winter,Anochecer Crítico,Anfibio,PAUJIL,5.86,1.25,12.77,8
2024,Winter,Anochecer Crítico,Anfibio,QUISTOCOCHA,13.72,01.04,34.58,12
2024,Winter,Anochecer Crítico,Anfibio,SAN LUCAS,2.63,0.21,9.5,10
2024,Winter,Anochecer Crítico,Anfibio,VARILLAL,5.14,0.42,25.83,17
2024,Winter,Anochecer Crítico,Antropogénico,12 DE abril,4.86,0.67,9.58,8
2024,Winter,Anochecer Crítico,Antropogénico,PAUJIL,13.72,3.33,23.97,8
2024,Winter,Anochecer Crítico,Antropogénico,QUISTOCOCHA,20.87,2.29,59.58,13
2024,Winter,Anochecer Crítico,Antropogénico,SAN LUCAS,11.02,0.28,26.5,14
2024,Winter,Anochecer Crítico,Antropogénico,VARILLAL,10.26,1.86,44.17,21
2024,Winter,Anochecer Crítico,Ave,12 DE abril,5.54,0.63,12.67,8
2024,Winter,Anochecer Crítico,Ave,PAUJIL,6.7,0.55,20.94,8
2024,Winter,Anochecer Crítico,Ave,QUISTOCOCHA,4.79,0.21,11.46,12
2024,Winter,Anochecer Crítico,Ave,SAN LUCAS,5.21,0.56,10.5,11
2024,Winter,Anochecer Crítico,Ave,VARILLAL,19.4,0.41,71.67,20
2024,Winter,Anochecer Crítico,Insecto,12 DE abril,35.53,26.46,46.33,8
2024,Winter,Anochecer Crítico,Insecto,PAUJIL,37.9,28.54,53.72,8
2024,Winter,Anochecer Crítico,Insecto,QUISTOCOCHA,17.83,2.92,33.33,12
2024,Winter,Anochecer Crítico,Insecto,SAN LUCAS,26.5,16.11,37.17,11
2024,Winter,Anochecer Crítico,Insecto,VARILLAL,23.6,0.69,63.64,19
2024,Winter,Anochecer Crítico,Mamífero,12 DE abril,0.58,0.33,1.0,3
2024,Winter,Anochecer Crítico,Mamífero,PAUJIL,01.09,0.83,1.36,2
2024,Winter,Anochecer Crítico,Mamífero,QUISTOCOCHA,0.94,0.42,1.46,4
2024,Winter,Anochecer Crítico,Mamífero,VARILLAL,1.59,0.14,4.17,7
2024,Winter,Anochecer Crítico,Ruido ambiental,12 DE abril,51.47,35.5,66.04,8
2024,Winter,Anochecer Crítico,Ruido ambiental,PAUJIL,65.63,10.74,100.0,15
2024,Winter,Anochecer Crítico,Ruido ambiental,QUISTOCOCHA,49.21,10.83,99.79,14
2024,Winter,Anochecer Crítico,Ruido ambiental,SAN LUCAS,64.71,35.83,100.0,15
2024,Winter,Anochecer Crítico,Ruido ambiental,VARILLAL,45.23,0.83,88.33,21
2024,Spring,Anochecer Crítico,Anfibio,12 DE abril,0.3,0.3,0.3,1
2024,Spring,Anochecer Crítico,Antropogénico,12 DE abril,22.12,22.12,22.12,1
2024,Spring,Anochecer Crítico,Insecto,12 DE abril,1.14,1.14,1.14,1
2024,Spring,Anochecer Crítico,Ruido ambiental,12 DE abril,76.44,76.44,76.44,1
2025,Autumn,Amanecer Crítico,Anfibio,12 DE abril,0.2,0.19,0.21,2
2025,Autumn,Amanecer Crítico,Anfibio,PAUJIL,2.13,0.28,5.83,3
2025,Autumn,Amanecer Crítico,Anfibio,SAN LUCAS,0.42,0.42,0.42,1
2025,Autumn,Amanecer Crítico,Anfibio,VARILLAL,0.17,0.17,0.17,1
2025,Autumn,Amanecer Crítico,Antropogénico,12 DE abril,0.97,0.21,3.0,6
2025,Autumn,Amanecer Crítico,Antropogénico,PAUJIL,4.61,0.33,17.22,6
2025,Autumn,Amanecer Crítico,Antropogénico,SAN LUCAS,10.29,0.42,40.83,5
2025,Autumn,Amanecer Crítico,Antropogénico,VARILLAL,6.3,2.67,9.0,5
2025,Autumn,Amanecer Crítico,Ave,12 DE abril,4.76,1.5,6.17,4
2025,Autumn,Amanecer Crítico,Ave,PAUJIL,09.04,3.0,14.17,5
2025,Autumn,Amanecer Crítico,Ave,SAN LUCAS,5.7,0.83,18.33,6
2025,Autumn,Amanecer Crítico,Ave,VARILLAL,5.52,1.48,11.0,5
2025,Autumn,Amanecer Crítico,Insecto,12 DE abril,6.5,0.21,12.5,5
2025,Autumn,Amanecer Crítico,Insecto,PAUJIL,25.25,0.33,41.67,6
2025,Autumn,Amanecer Crítico,Insecto,SAN LUCAS,24.94,2.92,68.5,6
2025,Autumn,Amanecer Crítico,Insecto,VARILLAL,16.8,10.83,27.04,5
2025,Autumn,Amanecer Crítico,Mamífero,12 DE abril,0.17,0.17,0.17,1
2025,Autumn,Amanecer Crítico,Mamífero,VARILLAL,0.81,0.19,2.33,5
2025,Autumn,Amanecer Crítico,Ruido ambiental,12 DE abril,90.35,83.17,99.76,6
2025,Autumn,Amanecer Crítico,Ruido ambiental,PAUJIL,67.03,36.67,100.0,7
2025,Autumn,Amanecer Crítico,Ruido ambiental,SAN LUCAS,60.72,28.35,91.25,6
2025,Autumn,Amanecer Crítico,Ruido ambiental,VARILLAL,78.95,64.81,100.0,7
2025,Autumn,Anochecer Crítico,Anfibio,12 DE abril,0.58,0.17,1.0,2
2025,Autumn,Anochecer Crítico,Anfibio,SAN LUCAS,0.42,0.42,0.42,1
2025,Autumn,Anochecer Crítico,Anfibio,VARILLAL,1.68,0.17,7.33,6
2025,Autumn,Anochecer Crítico,Antropogénico,12 DE abril,01.08,0.83,1.33,2
2025,Autumn,Anochecer Crítico,Antropogénico,PAUJIL,1.98,0.28,6.39,7
2025,Autumn,Anochecer Crítico,Antropogénico,SAN LUCAS,7.36,3.33,13.33,5
2025,Autumn,Anochecer Crítico,Antropogénico,VARILLAL,22.78,17.33,33.33,7
2025,Autumn,Anochecer Crítico,Ave,12 DE abril,5.61,3.83,8.33,3
2025,Autumn,Anochecer Crítico,Ave,PAUJIL,9.47,4.17,19.17,7
2025,Autumn,Anochecer Crítico,Ave,SAN LUCAS,6.75,2.92,14.58,6
2025,Autumn,Anochecer Crítico,Ave,VARILLAL,4.3,2.0,11.33,7
2025,Autumn,Anochecer Crítico,Insecto,12 DE abril,10.44,6.33,14.0,3
2025,Autumn,Anochecer Crítico,Insecto,PAUJIL,31.63,17.5,45.0,7
2025,Autumn,Anochecer Crítico,Insecto,SAN LUCAS,21.61,7.59,44.17,6
2025,Autumn,Anochecer Crítico,Insecto,VARILLAL,12.8,8.83,20.19,7
2025,Autumn,Anochecer Crítico,Mamífero,12 DE abril,0.17,0.17,0.17,1
2025,Autumn,Anochecer Crítico,Mamífero,VARILLAL,0.75,0.67,0.83,2
2025,Autumn,Anochecer Crítico,Ruido ambiental,12 DE abril,91.39,80.5,100.0,6
2025,Autumn,Anochecer Crítico,Ruido ambiental,PAUJIL,56.93,38.89,68.89,7
2025,Autumn,Anochecer Crítico,Ruido ambiental,SAN LUCAS,65.44,46.25,78.48,6
2025,Autumn,Anochecer Crítico,Ruido ambiental,VARILLAL,58.47,52.22,63.17,7
2025,Winter,Amanecer Crítico,Antropogénico,QUISTOCOCHA,3.46,0.4,10.28,5
2025,Winter,Amanecer Crítico,Ave,QUISTOCOCHA,2.58,0.41,6.11,3
2025,Winter,Amanecer Crítico,Insecto,QUISTOCOCHA,3.1,0.41,12.22,5
2025,Winter,Amanecer Crítico,Ruido ambiental,QUISTOCOCHA,94.21,71.39,100.0,7
2025,Winter,Anochecer Crítico,Anfibio,QUISTOCOCHA,1.38,0.41,3.33,3
2025,Winter,Anochecer Crítico,Antropogénico,QUISTOCOCHA,2.35,0.41,8.61,5
2025,Winter,Anochecer Crítico,Ave,QUISTOCOCHA,0.4,0.37,0.41,3
2025,Winter,Anochecer Crítico,Insecto,QUISTOCOCHA,1.88,0.82,3.33,3
2025,Winter,Anochecer Crítico,Ruido ambiental,QUISTOCOCHA,96.76,88.06,100.0,7