periodo_analisis,categoria,comunidad,porcentaje_promedio,porcentaje_min,porcentaje_max,dias_muestreados
Amanecer Crítico,Anfibio,12 DE abril,1.63,0.08,11.88,24
Amanecer Crítico,Anfibio,23 DE febrero,0.8,0.12,3.19,17
Amanecer Crítico,Anfibio,LLANCHAMA,0.72,0.09,1.39,6
Amanecer Crítico,Anfibio,PAUJIL,1.45,0.2,7.19,31
Amanecer Crítico,Anfibio,QUISTOCOCHA,0.5,0.07,01.04,15
Amanecer Crítico,Anfibio,SAN CARLOS,1.27,0.09,4.22,6
Amanecer Crítico,Anfibio,SAN LUCAS,2.43,0.04,31.67,27
Amanecer Crítico,Anfibio,VARILLAL,1.18,0.04,10.66,23
Amanecer Crítico,Anfibio,ZUNGAROCOCHA,2.85,1.67,4.44,4
Amanecer Crítico,Anfibio,cahuide,0.26,0.17,0.47,5
Amanecer Crítico,Antropogénico,12 DE abril,4.41,0.21,19.54,36
Amanecer Crítico,Antropogénico,23 DE febrero,4.39,0.42,22.02,28
Amanecer Crítico,Antropogénico,LLANCHAMA,13.12,9.72,19.36,6
Amanecer Crítico,Antropogénico,PAUJIL,7.21,0.31,40.0,40
Amanecer Crítico,Antropogénico,QUISTOCOCHA,8.9,0.4,30.42,37
Amanecer Crítico,Antropogénico,SAN CARLOS,6.23,0.17,10.91,6
Amanecer Crítico,Antropogénico,SAN LUCAS,11.8,0.42,66.67,41
Amanecer Crítico,Antropogénico,VARILLAL,10.24,0.14,41.58,39
Amanecer Crítico,Antropogénico,ZUNGAROCOCHA,7.71,4.86,9.58,6
Amanecer Crítico,Antropogénico,cahuide,10.07,4.77,17.46,6
Amanecer Crítico,Ave,12 DE abril,8.5,0.15,23.71,35
Amanecer Crítico,Ave,23 DE febrero,17.15,0.24,34.31,28
Amanecer Crítico,Ave,LLANCHAMA,7.41,5.3,9.64,6
Amanecer Crítico,Ave,PAUJIL,14.42,0.42,36.7,38
Amanecer Crítico,Ave,QUISTOCOCHA,11.63,0.41,28.21,38
Amanecer Crítico,Ave,SAN CARLOS,10.51,1.91,15.28,6
Amanecer Crítico,Ave,SAN LUCAS,20.3,0.83,85.4,38
Amanecer Crítico,Ave,VARILLAL,14.41,0.98,57.5,43
Amanecer Crítico,Ave,ZUNGAROCOCHA,17.27,12.08,20.97,6
Amanecer Crítico,Ave,cahuide,9.16,5.88,14.78,6
Amanecer Crítico,Insecto,12 DE abril,22.4,0.15,44.64,35
Amanecer Crítico,Insecto,23 DE febrero,44.53,10.0,63.69,28
Amanecer Crítico,Insecto,LLANCHAMA,29.75,24.22,35.59,6
Amanecer Crítico,Insecto,PAUJIL,25.72,0.33,54.94,39
Amanecer Crítico,Insecto,QUISTOCOCHA,24.44,0.41,49.17,39
Amanecer Crítico,Insecto,SAN CARLOS,38.8,23.52,49.11,6
Amanecer Crítico,Insecto,SAN LUCAS,22.09,1.77,68.5,37
Amanecer Crítico,Insecto,VARILLAL,21.85,1.67,50.6,42
Amanecer Crítico,Insecto,ZUNGAROCOCHA,31.46,22.5,42.78,6
Amanecer Crítico,Insecto,cahuide,16.95,7.13,31.75,6
Amanecer Crítico,Mamífero,12 DE abril,1.0,0.1,7.0,10
Amanecer Crítico,Mamífero,23 DE febrero,0.35,0.12,0.69,4
Amanecer Crítico,Mamífero,LLANCHAMA,0.26,0.17,0.35,3
Amanecer Crítico,Mamífero,PAUJIL,0.41,0.07,1.64,14
Amanecer Crítico,Mamífero,QUISTOCOCHA,0.75,0.12,02.04,18
Amanecer Crítico,Mamífero,SAN CARLOS,0.17,0.09,0.3,4
Amanecer Crítico,Mamífero,SAN LUCAS,0.53,0.1,1.31,17
Amanecer Crítico,Mamífero,VARILLAL,1.71,0.12,9.52,25
Amanecer Crítico,Mamífero,ZUNGAROCOCHA,0.63,0.42,1.39,6
Amanecer Crítico,Mamífero,cahuide,01.06,0.04,2.78,5
Amanecer Crítico,Ruido ambiental,12 DE abril,69.3,36.11,100.0,42
Amanecer Crítico,Ruido ambiental,23 DE febrero,35.7,14.4,100.0,29
Amanecer Crítico,Ruido ambiental,LLANCHAMA,48.87,41.49,55.21,6
Amanecer Crítico,Ruido ambiental,PAUJIL,61.43,08.06,100.0,49
Amanecer Crítico,Ruido ambiental,QUISTOCOCHA,61.21,25.48,100.0,45
Amanecer Crítico,Ruido ambiental,SAN CARLOS,43.08,32.44,74.31,6
Amanecer Crítico,Ruido ambiental,SAN LUCAS,52.39,5.0,100.0,43
Amanecer Crítico,Ruido ambiental,VARILLAL,62.14,11.67,100.0,53
Amanecer Crítico,Ruido ambiental,ZUNGAROCOCHA,41.04,37.36,44.31,6
Amanecer Crítico,Ruido ambiental,cahuide,62.72,33.04,77.53,6
Anochecer Crítico,Anfibio,12 DE abril,02.06,0.08,6.0,34
Anochecer Crítico,Anfibio,23 DE febrero,3.23,0.12,10.0,28
Anochecer Crítico,Anfibio,LLANCHAMA,0.81,0.17,3.73,6
Anochecer Crítico,Anfibio,PAUJIL,4.36,0.21,26.37,32
Anochecer Crítico,Anfibio,QUISTOCOCHA,6.72,0.21,34.58,28
Anochecer Crítico,Anfibio,SAN CARLOS,1.3,0.61,2.78,6
Anochecer Crítico,Anfibio,SAN LUCAS,5.24,0.1,33.33,31
Anochecer Crítico,Anfibio,VARILLAL,3.48,0.12,25.83,38
Anochecer Crítico,Anfibio,ZUNGAROCOCHA,01.06,0.42,1.94,5
Anochecer Crítico,Anfibio,cahuide,0.89,0.3,2.19,6
Anochecer Crítico,Antropogénico,12 DE abril,13.74,0.67,100.0,41
Anochecer Crítico,Antropogénico,23 DE febrero,7.2,0.28,13.69,30
Anochecer Crítico,Antropogénico,LLANCHAMA,16.96,10.94,24.57,6
Anochecer Crítico,Antropogénico,PAUJIL,9.97,0.08,43.17,44
Anochecer Crítico,Antropogénico,QUISTOCOCHA,18.14,0.36,59.58,42
Anochecer Crítico,Antropogénico,SAN CARLOS,27.06,18.07,37.4,6
Anochecer Crítico,Antropogénico,SAN LUCAS,13.08,0.28,35.71,40
Anochecer Crítico,Antropogénico,VARILLAL,14.37,0.26,44.17,46
Anochecer Crítico,Antropogénico,ZUNGAROCOCHA,29.98,18.33,45.28,6
Anochecer Crítico,Antropogénico,cahuide,14.95,10.05,24.6,6
Anochecer Crítico,Ave,12 DE abril,4.62,0.21,15.0,35
Anochecer Crítico,Ave,23 DE febrero,7.12,0.48,23.06,30
Anochecer Crítico,Ave,LLANCHAMA,01.07,0.35,1.82,6
Anochecer Crítico,Ave,PAUJIL,5.27,0.08,20.94,43
Anochecer Crítico,Ave,QUISTOCOCHA,7.23,0.21,25.12,34
Anochecer Crítico,Ave,SAN CARLOS,4.79,2.95,6.85,6
Anochecer Crítico,Ave,SAN LUCAS,5.18,0.02,16.43,37
Anochecer Crítico,Ave,VARILLAL,11.44,0.04,71.67,43
Anochecer Crítico,Ave,ZUNGAROCOCHA,4.65,1.67,7.78,6
Anochecer Crítico,Ave,cahuide,2.42,0.34,4.96,6
Anochecer Crítico,Insecto,12 DE abril,32.64,1.14,77.5,39
Anochecer Crítico,Insecto,23 DE febrero,53.16,32.26,79.17,29
Anochecer Crítico,Insecto,LLANCHAMA,41.22,20.49,54.51,6
Anochecer Crítico,Insecto,PAUJIL,29.42,2.81,53.72,43
Anochecer Crítico,Insecto,QUISTOCOCHA,18.73,0.82,53.4,33
Anochecer Crítico,Insecto,SAN CARLOS,36.37,33.25,40.35,6
Anochecer Crítico,Insecto,SAN LUCAS,32.64,5.22,100.0,40
Anochecer Crítico,Insecto,VARILLAL,24.9,0.69,63.64,43
Anochecer Crítico,Insecto,ZUNGAROCOCHA,22.18,08.06,35.56,6
Anochecer Crítico,Insecto,cahuide,19.99,11.34,32.94,6
Anochecer Crítico,Mamífero,12 DE abril,0.39,0.1,1.0,6
Anochecer Crítico,Mamífero,23 DE febrero,0.23,0.12,0.48,5
Anochecer Crítico,Mamífero,PAUJIL,0.52,0.1,1.36,9
Anochecer Crítico,Mamífero,QUISTOCOCHA,0.43,0.03,1.46,12
Anochecer Crítico,Mamífero,SAN LUCAS,0.64,0.09,2.26,8
Anochecer Crítico,Mamífero,VARILLAL,0.91,0.05,4.17,16
Anochecer Crítico,Mamífero,ZUNGAROCOCHA,0.31,0.14,0.56,4
Anochecer Crítico,Mamífero,cahuide,0.36,0.04,0.95,3
Anochecer Crítico,Ruido ambiental,12 DE abril,57.49,15.83,100.0,44
Anochecer Crítico,Ruido ambiental,23 DE febrero,31.24,11.07,85.24,30
Anochecer Crítico,Ruido ambiental,LLANCHAMA,39.95,28.21,67.45,6
Anochecer Crítico,Ruido ambiental,PAUJIL,60.1,10.74,100.0,52
Anochecer Crítico,Ruido ambiental,QUISTOCOCHA,60.3,10.83,100.0,46
Anochecer Crítico,Ruido ambiental,SAN CARLOS,30.48,20.14,37.63,6
Anochecer Crítico,Ruido ambiental,SAN LUCAS,53.76,1.96,100.0,43
Anochecer Crítico,Ruido ambiental,VARILLAL,55.28,0.83,100.0,53
Anochecer Crítico,Ruido ambiental,ZUNGAROCOCHA,42.11,35.83,44.58,6
Anochecer Crítico,Ruido ambiental,cahuide,61.57,36.51,74.01,6
Anochecer Crítico,Silencio,QUISTOCOCHA,7.14,7.14,7.14,1